Epoch,Train Acc,Val Acc,Train Loss,Val Loss
0,0.4342052715654952,0.550374332237518,2.011599641638442,1.8938143860762287
1,0.8127371206070287,0.9800393594616807,1.667139241108879,1.537703776815135
2,0.9615864616613419,1.0,1.5077690030820072,1.462698310803456
3,0.9596645367412141,1.0,1.5022718380815305,1.4616516289437653
4,0.9778105031948882,1.0,1.4836388733059453,1.4613164268481504
5,1.0,1.0,1.4612212866639938,1.4611650515513814
6,0.9615365415335463,1.0,1.4995408351428974,1.4611695944123966
7,1.0,1.0,1.461161258312079,1.4611549233175387
8,0.952276357827476,0.8986044406205055,1.508828364622098,1.5625507193765822
9,0.9202650758785943,1.0,1.5408533552584176,1.4611610872730327
10,0.9950703873801917,1.0,1.466112160454162,1.4611559400133267
11,1.0,1.0,1.4611531237062936,1.4611570326385983
12,1.0,1.0,1.4611510215475918,1.4611508398299005
13,0.9882687699680511,1.0,1.4728306053926388,1.4611517145375537
14,1.0,1.0,1.461151216738521,1.4611509408161139
15,1.0,1.0,1.4611508305461263,1.4611507798456083
16,0.6566119209265175,0.5995383449763715,1.7934642691200915,1.8470646742802517
17,0.6859899161341853,0.703707686973495,1.7735657240636051,1.7574641795674706
18,0.6991313897763578,0.703707686973495,1.762026660168133,1.7574442617452828
19,0.9696735223642172,1.0,1.49149622151646,1.4611540144416177
20,1.0,1.0,1.4611523846467844,1.4611513257785966
21,0.9971670327476039,1.0,1.4639838061774502,1.4611519400481205
22,1.0,1.0,1.461151306811994,1.4611509772622662
23,1.0,1.0,1.4611508577776413,1.46115077225266
24,1.0,1.0,1.4611507677041684,1.4611507654190063
25,0.9973791932907349,1.0,1.4637669182052246,1.4611507836420825
26,0.997890874600639,1.0,1.4632533503035767,1.461151343242378
27,1.0,1.0,1.461150898910559,1.4611508254032985
28,1.0,1.0,1.4611507804629902,1.461150766937596
29,1.0,1.0,1.461150765038146,1.4611507654190063
30,1.0,1.0,1.4611507646572857,1.4611507654190063
31,0.9994134384984026,1.0,1.4617557209520675,1.4611508208475295
32,1.0,1.0,1.4611508417815064,1.4611507654190063
33,1.0,1.0,1.4611507652285762,1.4611507654190063
34,1.0,1.0,1.4611507648477158,1.4611507654190063
35,1.0,1.0,1.4611507646572857,1.4611507654190063
36,0.9992137579872205,1.0,1.4619120007124953,1.4611507828827877
37,1.0,1.0,1.4611507739883642,1.46115077225266
38,1.0,1.0,1.4611507667520176,1.4611507661783012
39,1.0,1.0,1.461150765038146,1.4611507654190063
40,1.0,1.0,1.4611507646572857,1.4611507654190063
41,0.9999001597444089,1.0,1.4612552864482988,1.4611507654190063
42,1.0,1.0,1.4611507646572857,1.4611507654190063
43,1.0,1.0,1.4611507646572857,1.4611507654190063
44,1.0,1.0,1.4611507646572857,1.4611507654190063
45,0.9997503993610224,1.0,1.4614164962555274,1.461150766937596
46,1.0,1.0,1.4611507657998668,1.4611507661783012
47,1.0,1.0,1.4611507652285762,1.4611507654190063
48,1.0,1.0,1.4611507648477158,1.4611507654190063
49,1.0,1.0,1.4611507646572857,1.4611507654190063
50,1.0,1.0,1.4611507648477158,1.4611507654190063
51,1.0,1.0,1.4611507646572857,1.4611507661783012
52,0.9999875199680511,1.0,1.4611682242478807,1.4611507654190063
53,1.0,1.0,1.4611507783682582,1.4611507654190063
54,1.0,1.0,1.4611507671328778,1.4611507654190063
55,1.0,1.0,1.4611507646572857,1.4611507654190063
56,1.0,1.0,1.461150765038146,1.461150766937596
57,1.0,1.0,1.4611539966382159,1.4611507661783012
58,1.0,1.0,1.4611507692276098,1.4611507654190063
59,1.0,1.0,1.4611507646572857,1.4611507654190063
60,1.0,1.0,1.4611507646572857,1.4611507699747754
61,1.0,1.0,1.4611507669424477,1.461150766937596
62,1.0,1.0,1.461150765038146,1.4611507661783012
63,1.0,1.0,1.4611507817960014,1.4611507654190063
64,1.0,1.0,1.4611508284513943,1.4611507768084289
65,1.0,1.0,1.4611507678945985,1.4611507661783012
66,1.0,1.0,1.461150765038146,1.4611507654190063
67,1.0,1.0,1.4611507686563194,1.4611507798456083
68,1.0,1.0,1.4611507648477158,1.4611507654190063
69,1.0,1.0,1.4611507654190063,1.4611507654190063
70,1.0,1.0,1.4611507652285762,1.4611507654190063
71,1.0,1.0,1.4611507646572857,1.4611507654190063
72,1.0,1.0,1.4611507648477158,1.4611507654190063
73,1.0,1.0,1.4611507646572857,1.4611507654190063
74,1.0,1.0,1.4611507646572857,1.4611507654190063
75,1.0,1.0,1.461150765038146,1.4611507654190063
76,1.0,1.0,1.4611507646572857,1.4611507654190063
77,1.0,1.0,1.4611507646572857,1.4611507654190063
78,1.0,1.0,1.4611507646572857,1.4611507654190063
79,1.0,1.0,1.4611507648477158,1.4611507654190063
80,1.0,1.0,1.4611507646572857,1.4611507654190063
81,1.0,1.0,1.4611507646572857,1.4611507654190063
82,1.0,1.0,1.4611507648477158,1.4611507654190063
83,1.0,1.0,1.4611507646572857,1.4611507654190063
84,1.0,1.0,1.461150765990297,1.4611507654190063
85,1.0,1.0,1.4611507646572857,1.4611507654190063
86,1.0,1.0,1.4611507648477158,1.4611507661783012
87,1.0,1.0,1.4611507646572857,1.4611507654190063
88,1.0,1.0,1.4611507646572857,1.4611507654190063
89,1.0,1.0,1.4611507648477158,1.4611507654190063
90,1.0,1.0,1.4611507657998668,1.4611507654190063
91,1.0,1.0,1.4611507648477158,1.4611507654190063
92,1.0,1.0,1.4611507648477158,1.4611507654190063
93,1.0,1.0,1.4611507646572857,1.4611507654190063
94,1.0,1.0,1.4611507656094365,1.461150766937596
