Epoch,Train Acc,Test Acc,Train Loss,Test Loss
0,0.1545,0.1909,2.196348368091913,1.9219469688951778
1,0.22076,0.2159,1.86407634019089,1.8451483516266551
2,0.26482,0.2709,1.7800153669301166,1.7072912686929915
3,0.29624,0.2879,1.7245467196499318,1.7785306563392616
4,0.32958,0.3352,1.6534000496336534,1.5572602931683817
5,0.35388,0.3603,1.5941937051365487,1.5816793346557374
6,0.37666,0.4291,1.5393004505892098,1.4791150542493827
7,0.4079,0.429,1.4804828314924576,1.5546034570700062
8,0.44772,0.4809,1.4245274042137448,1.4594369201233592
9,0.47012,0.474,1.3819495634016743,1.4439191763012553
10,0.49888,0.4664,1.326277840732384,1.4766966666276462
11,0.52036,0.5346,1.2766793989174197,1.3960489866832575
12,0.5288,0.5026,1.2605488939462224,1.5342304881769246
13,0.55448,0.526,1.203662836582174,1.3744257412398586
14,0.5614,0.5625,1.1781804027728218,1.429083757888014
15,0.6606,0.6621,0.9072989545719637,1.0790436616340005
16,0.69864,0.6628,0.8254653962277786,1.0850229039550208
17,0.72368,0.705,0.7701243774027529,0.9785914456311126
18,0.7471,0.7125,0.7219463069127755,0.9704766810511629
19,0.77362,0.7173,0.6557061354452727,0.976855958326937
20,0.79242,0.7314,0.6124185882198909,1.0319594792283762
21,0.81082,0.7341,0.5583588164335478,1.0206413539453818
22,0.82086,0.6993,0.5267894424388444,1.1454879367313446
23,0.83368,0.734,0.4937425667916973,1.036197760710701
24,0.84648,0.7461,0.45819341766952476,1.0625649704910314
25,0.85768,0.7614,0.4301783482777104,1.1144814578869853
26,0.86662,0.7509,0.40389057153493874,1.1089538855198473
27,0.8733,0.749,0.3912842038015448,1.074663757040097
28,0.88228,0.7472,0.36125983814074303,1.2140086273225352
29,0.88482,0.7468,0.3549634677072557,1.1541390745594098
30,0.89412,0.7613,0.33194730111939436,1.2058222211492708
31,0.89832,0.7582,0.3132185469204542,1.1344512909555589
32,0.9016,0.7661,0.30180701474472643,1.2162226442330943
33,0.91028,0.7524,0.28343849517857883,1.1602880873809607
34,0.9141,0.7593,0.2661110719526455,1.2977695771680473
35,0.91794,0.7624,0.2543379999006016,1.3230246526126663
36,0.9199,0.7555,0.25022463025483505,1.268959584898842
37,0.92142,0.7579,0.24918273874747396,1.3317935343938894
38,0.92864,0.7651,0.22626068656972145,1.405254252040729
39,0.93144,0.7554,0.2205282742990585,1.3505400340206706
