Epoch,Train Acc,Test Acc,Train Loss,Test Loss
0,0.60732,0.7029,1.0944302842087725,0.8443755795970892
1,0.75384,0.7559,0.7091853105327828,0.7118460724052911
2,0.8139,0.7508,0.5359495782596669,0.7376096194354109
3,0.8563,0.7916,0.4150629405096717,0.632056116772155
4,0.88714,0.7817,0.31893934104508187,0.6801500969325391
5,0.91434,0.7942,0.24579501250116434,0.6730852895460951
6,0.93326,0.8098,0.1919473161145101,0.6818412001521442
7,0.94582,0.7574,0.15392484968487632,0.9983873957643112
8,0.95614,0.795,0.1269255937127753,0.8301059453251263
9,0.96112,0.793,0.11009796770612494,0.8536514958348899
10,0.96804,0.7833,0.09375446590059273,0.9147609136879634
11,0.96974,0.7891,0.08621330183641109,0.9547699570370177
12,0.97294,0.8017,0.07756019112766796,0.8607163259063285
13,0.97466,0.8045,0.07066003495683716,0.8440645042176064
14,0.97802,0.821,0.06237083061555638,0.8072213664258154
15,0.97924,0.8304,0.060229819261359306,0.7813456677519285
16,0.98066,0.787,0.05716059493430981,1.0806926124440595
17,0.98212,0.8093,0.05192835954776089,0.9734157350497504
18,0.98298,0.8194,0.04918193047613285,0.8251211503490853
19,0.9839,0.7955,0.04526662817320942,1.068679281436026
20,0.9859,0.8212,0.043160711785427075,0.8641686179100896
21,0.98512,0.8249,0.043555447115521964,0.8417609243537671
22,0.98646,0.8165,0.03957665589985252,0.8983400645561683
23,0.98768,0.8228,0.03543206107852517,0.9189128421794492
24,0.9878,0.813,0.03717179490892459,0.9763213034731131
25,0.98856,0.8114,0.034979937252885306,0.9797558473369565
26,0.98872,0.7997,0.031617086864070894,1.093996888461014
27,0.98988,0.8061,0.03000450766363011,1.070828799146433
28,0.98952,0.8234,0.03012307968200918,0.8974767649611726
29,0.98968,0.8326,0.02939465951467314,0.8618514620410368
30,0.9905,0.8272,0.028126197215008135,0.935435519288904
31,0.99106,0.8341,0.02663634575072374,0.8883366399019147
32,0.99106,0.8344,0.02580655120156271,0.8361137324598984
33,0.99206,0.8363,0.024502470219211172,0.8751935268136354
34,0.99146,0.8313,0.024888821665924238,0.9224407990662434
35,0.99192,0.8251,0.023632618262722782,0.9647499126153061
36,0.9927,0.8295,0.021696515020894674,0.9261734120783206
37,0.9929,0.8323,0.02190877663814696,0.9483047088328451
38,0.99352,0.8325,0.019864385698154293,1.002952482479925
39,0.99308,0.8297,0.02110331691196615,0.9477703762523377
40,0.99276,0.8306,0.021174525990449142,0.9650084169301838
41,0.99338,0.8081,0.021392824272269403,1.0879876195265652
42,0.99384,0.8406,0.019247088307387077,0.8843653930283074
43,0.99392,0.8391,0.018823225737783666,0.9108490614866177
